material_diff,white_material,black_material,white_pawns,black_pawns,white_knights,black_knights,white_bishops,black_bishops,white_rooks,black_rooks,white_queens,black_queens,white_bishop_pair,black_bishop_pair,white_developed,black_developed,white_castled,black_castled,white_castled_on_move,black_castled_on_move,pawn_moves_white,pawn_moves_black,piece_moves_white,piece_moves_black,captures_white,captures_black,checks_white,checks_black,center_control_white,center_control_black,ext_center_white,ext_center_black,white_mobility,black_mobility,white_attacked_squares,black_attacked_squares,white_doubled_pawns,black_doubled_pawns,white_isolated_pawns,black_isolated_pawns,white_passed_pawns,black_passed_pawns,white_king_safety,black_king_safety,white_king_exposure,black_king_exposure,eco_category,result
-2,21,23,4,4,1,0,0,0,1,2,1,1,0,0,4,4,0,1,0,7,8,7,17,18,8,8,1,1,3,3,10,12,35,41,34,38,0,0,2,1,1,1,3,3,5,0,3,0-1
-4,26,30,7,5,0,1,0,1,2,2,1,1,0,0,4,4,1,0,14,0,6,6,19,19,5,5,1,0,2,3,9,12,29,50,30,40,0,0,0,0,0,0,3,3,1,1,2,1-0
-2,17,19,3,5,0,0,0,0,1,1,1,1,0,0,4,4,1,1,8,8,10,9,15,16,8,10,1,0,1,3,5,11,34,36,29,38,0,2,1,1,1,1,2,4,0,0,3,1-0
6,25,19,5,5,1,0,1,0,1,1,1,1,0,0,4,4,1,1,12,11,8,7,17,18,8,6,4,0,4,3,13,10,45,32,42,32,0,0,0,1,0,1,2,3,2,2,3,1-0
-1,23,24,6,7,1,1,0,0,1,1,1,1,0,0,4,4,0,1,0,12,5,8,20,17,5,6,1,3,3,2,9,9,2,33,31,35,2,2,3,0,0,0,3,3,2,0,3,0-1
-2,24,26,5,7,0,0,0,0,2,2,1,1,0,0,4,4,1,1,10,9,7,7,18,18,5,7,1,1,3,4,9,13,37,41,31,38,0,0,3,0,0,0,3,2,1,0,3,1-0
-10,14,24,5,5,0,0,0,0,0,2,1,1,0,0,4,4,0,1,0,7,6,3,19,22,7,9,0,3,3,4,12,8,27,51,33,44,0,0,3,2,0,0,2,3,4,0,2,0-1
-7,16,23,5,7,1,0,1,2,1,2,0,0,0,1,3,4,1,1,7,6,9,4,16,21,4,7,0,0,3,3,7,10,19,43,25,36,0,0,2,0,0,0,3,3,1,0,1,1-0
-2,18,20,4,6,0,0,0,0,1,1,1,1,0,0,4,4,0,1,0,10,4,7,21,18,7,9,0,3,3,3,10,9,38,32,37,32,0,0,0,2,0,2,4,3,0,0,0,1-0
8,29,21,7,2,0,0,1,0,2,2,1,1,0,0,4,4,1,1,14,7,6,6,19,19,10,4,3,1,3,0,9,7,37,33,43,30,2,0,1,2,4,0,3,1,3,4,2,1-0
8,27,19,7,6,1,0,1,1,1,2,1,0,0,0,4,4,1,1,17,10,4,4,21,21,6,4,0,1,3,2,11,8,40,26,38,29,0,0,1,1,0,0,4,4,0,1,3,1-0
0,15,15,6,6,0,0,0,0,0,0,1,1,0,0,4,4,1,0,6,0,6,5,19,20,8,8,4,1,0,2,5,9,25,24,24,28,0,0,0,0,0,0,3,2,0,0,2,0-1
2,24,22,4,5,2,0,0,1,1,1,1,1,0,0,4,4,1,1,22,12,4,6,21,19,7,7,2,0,3,2,14,10,37,41,37,35,0,0,0,3,0,2,4,2,1,1,3,1-0
2,13,11,5,3,1,0,0,1,1,1,0,0,0,0,4,4,1,1,7,14,5,7,20,18,10,8,2,1,1,0,7,3,29,15,26,21,0,0,0,1,0,0,3,1,0,3,2,1-0
7,22,15,5,4,2,1,2,1,1,1,0,0,1,0,4,4,0,1,0,12,6,6,19,19,8,5,1,3,2,3,12,8,54,19,37,24,0,0,2,0,0,0,2,2,0,2,2,1-0
-5,19,24,3,5,1,1,1,2,2,2,0,0,0,1,2,4,1,0,19,0,5,9,20,16,5,8,2,2,2,4,8,9,2,40,26,39,0,2,1,5,0,2,2,2,2,1,0,0-1
